TIMESLICE,YEAR,VALUE
S1D1,2021,0.124
S1D1,2022,0.124
S1D1,2023,0.124
S1D1,2024,0.124
S1D1,2025,0.124
S1D1,2026,0.124
S1D1,2027,0.124
S1D1,2028,0.124
S1D1,2029,0.124
S1D1,2030,0.124
S1D1,2031,0.124
S1D1,2032,0.124
S1D1,2033,0.124
S1D1,2034,0.124
S1D1,2035,0.124
S1D1,2036,0.124
S1D1,2037,0.124
S1D1,2038,0.124
S1D1,2039,0.124
S1D1,2040,0.124
S1D1,2041,0.124
S1D1,2042,0.124
S1D1,2043,0.124
S1D1,2044,0.124
S1D1,2045,0.124
S1D1,2046,0.124
S1D1,2047,0.124
S1D1,2048,0.124
S1D1,2049,0.124
S1D1,2050,0.124
S1D4,2021,0.124
S1D4,2022,0.124
S1D4,2023,0.124
S1D4,2024,0.124
S1D4,2025,0.124
S1D4,2026,0.124
S1D4,2027,0.124
S1D4,2028,0.124
S1D4,2029,0.124
S1D4,2030,0.124
S1D4,2031,0.124
S1D4,2032,0.124
S1D4,2033,0.124
S1D4,2034,0.124
S1D4,2035,0.124
S1D4,2036,0.124
S1D4,2037,0.124
S1D4,2038,0.124
S1D4,2039,0.124
S1D4,2040,0.124
S1D4,2041,0.124
S1D4,2042,0.124
S1D4,2043,0.124
S1D4,2044,0.124
S1D4,2045,0.124
S1D4,2046,0.124
S1D4,2047,0.124
S1D4,2048,0.124
S1D4,2049,0.124
S1D4,2050,0.124
