REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSINDNE01,2036.0,0.1439999998848
GLOBAL,LDSINDNE01,2037.0,0.1439999998848
GLOBAL,LDSINDNE01,2038.0,0.1439999998848
GLOBAL,LDSINDNE01,2039.0,0.1439999998848
GLOBAL,LDSINDNE01,2040.0,0.1439999998848
GLOBAL,LDSINDNE01,2041.0,0.1439999998848
GLOBAL,LDSINDNE01,2042.0,0.1439999998848
GLOBAL,LDSINDNE01,2043.0,0.1439999998848
GLOBAL,LDSINDNE01,2044.0,0.1439999998848
GLOBAL,LDSINDNE01,2045.0,0.1439999998848
GLOBAL,LDSINDNO01,2021.0,0.036
GLOBAL,LDSINDNO01,2022.0,0.036
GLOBAL,LDSINDNO01,2023.0,0.036
GLOBAL,LDSINDNO01,2024.0,0.036
GLOBAL,LDSINDNO01,2025.0,0.036
GLOBAL,LDSINDNO01,2026.0,0.036
GLOBAL,LDSINDNO01,2027.0,0.036
GLOBAL,LDSINDNO01,2028.0,0.036
GLOBAL,LDSINDNO01,2029.0,0.036
GLOBAL,LDSINDNO01,2030.0,0.036
GLOBAL,LDSINDNO01,2031.0,0.036
GLOBAL,LDSINDNO01,2032.0,0.036
GLOBAL,LDSINDNO01,2033.0,0.036
GLOBAL,LDSINDNO01,2034.0,0.036
GLOBAL,LDSINDNO01,2035.0,0.036
GLOBAL,LDSINDNO01,2036.0,0.036
GLOBAL,LDSINDNO01,2037.0,0.036
GLOBAL,LDSINDNO01,2038.0,0.036
GLOBAL,LDSINDNO01,2039.0,0.036
GLOBAL,LDSINDNO01,2040.0,0.036
GLOBAL,LDSINDNO01,2041.0,0.036
GLOBAL,LDSINDNO01,2042.0,0.036
GLOBAL,LDSINDNO01,2043.0,0.036
GLOBAL,LDSINDNO01,2044.0,0.036
GLOBAL,LDSINDNO01,2045.0,0.036
GLOBAL,LDSINDNO01,2046.0,0.036
GLOBAL,LDSINDNO01,2047.0,0.036
GLOBAL,LDSINDNO01,2048.0,0.036
GLOBAL,LDSINDNO01,2049.0,0.036
GLOBAL,LDSINDNO01,2050.0,0.036
GLOBAL,LDSINDSO01,2021.0,0.09468
GLOBAL,LDSINDSO01,2022.0,0.09468
GLOBAL,LDSINDSO01,2023.0,0.09468
GLOBAL,LDSINDSO01,2024.0,0.09468
GLOBAL,LDSINDSO01,2025.0,0.09468
GLOBAL,LDSINDSO01,2026.0,0.09468
GLOBAL,LDSINDSO01,2027.0,0.09468
GLOBAL,LDSINDSO01,2028.0,0.09468
GLOBAL,LDSINDSO01,2029.0,0.09468
GLOBAL,LDSINDSO01,2030.0,0.09468
GLOBAL,LDSINDSO01,2031.0,0.09468
GLOBAL,LDSINDSO01,2032.0,0.09468
GLOBAL,LDSINDSO01,2033.0,0.09468
GLOBAL,LDSINDSO01,2034.0,0.09468
GLOBAL,LDSINDSO01,2035.0,0.09468
GLOBAL,LDSINDSO01,2036.0,0.09468
GLOBAL,LDSINDSO01,2037.0,0.09468
GLOBAL,LDSINDSO01,2038.0,0.09468
GLOBAL,LDSINDSO01,2039.0,0.09468
GLOBAL,LDSINDSO01,2040.0,0.09468
GLOBAL,LDSINDSO01,2041.0,0.03456
GLOBAL,LDSINDSO01,2042.0,0.03456
GLOBAL,LDSINDSO01,2043.0,0.0144
GLOBAL,LDSINDSO01,2044.0,0.0144
GLOBAL,LDSINDSO01,2045.0,0.0144
GLOBAL,LDSINDSO01,2046.0,0.0144
GLOBAL,LDSINDSO01,2047.0,0.0144
GLOBAL,LDSINDSO01,2048.0,0.0
GLOBAL,LDSINDSO01,2049.0,0.0
GLOBAL,LDSINDSO01,2050.0,0.0
GLOBAL,LDSINDWE01,2021.0,0.07567
GLOBAL,LDSINDWE01,2022.0,0.07567
GLOBAL,LDSINDWE01,2023.0,0.07567
GLOBAL,LDSINDWE01,2024.0,0.07567
GLOBAL,LDSINDWE01,2025.0,0.07567
GLOBAL,LDSINDWE01,2026.0,0.07567
GLOBAL,LDSINDWE01,2027.0,0.07567
GLOBAL,LDSINDWE01,2028.0,0.07567
GLOBAL,LDSINDWE01,2029.0,0.07567
GLOBAL,LDSINDWE01,2030.0,0.07027
GLOBAL,LDSINDWE01,2031.0,0.07027
GLOBAL,LDSINDWE01,2032.0,0.07027
GLOBAL,LDSINDWE01,2033.0,0.07027
GLOBAL,LDSINDWE01,2034.0,0.07027
GLOBAL,LDSINDWE01,2035.0,0.07027
GLOBAL,LDSINDWE01,2036.0,0.06984
GLOBAL,LDSINDWE01,2037.0,0.06984
GLOBAL,LDSINDWE01,2038.0,0.06984
